User_ID,City_ID,Gyms,Local_Services,Monuments,Museums,Parks,Restaurants,Swimming_Pools,Theatres,View_Points
1,59,2.1776160271105893,0.5831444295592986,3.8416924957534255,1.9968971978105354,1.1861897435354645,0.16530549580522858,2.6308247195425882,0.034297844643417785,1.447216848402924
1,37,0.26721302555220483,2.6363099065308133,4.119013207982547,0.33037556346498465,2.544986933023137,4.61468140933926,0.31501328524615624,2.425449143872323,3.4432788359208786
1,176,1.7035543238305224,2.845487967228733,3.296148139909581,0.7522788135222103,4.209919351446193,1.5940683136034854,3.8890609034745416,1.4591760868294679,4.665452499326401
1,17,2.3233584368745004,1.401618561995206,4.9414238140774716,2.5408701150142843,1.2580013810929218,2.856177229389139,1.0551253814940593,2.7300683726264534,1.5946201878950905
1,96,4.066820693662667,4.613583884919632,1.898332720124094,3.2045403545488815,2.734187785267354,3.845047224744109,4.3230117448296035,2.328017249481971,2.404687210382843
1,124,4.082028185966231,1.8611615361756901,3.831824982855454,2.539318299851768,4.9137836253374605,4.08501635744618,3.3795721888114643,1.0762926623121416,1.5010724395798403
1,69,3.382480923262092,2.441971528036162,0.7172135779135425,2.941347466958286,1.2112344706754037,3.782444051097568,1.147483410720127,4.160964660955932,3.919055405766565
1,108,2.6020647766367078,0.3580367027204784,3.4994940342666956,2.8605177266076156,4.158476568311134,4.669435239910989,0.3599947212566812,4.373823589699391,4.8048733254962785
2,80,1.224687770317593,2.036662687707402,4.92436934650966,0.2995597499573266,0.6648926652553233,0.8167261030005035,1.3160501734313002,0.8495505492483685,4.900539930698814
2,185,1.5168461731190592,1.6722446995099967,1.0792560068246653,3.2779881178860433,3.1682661784262023,3.3474727225306338,4.496229771101187,4.619278186093055,0.7176887627912543
2,180,1.2487681983136456,2.0883132893515315,4.498979674605245,2.4913538637011987,0.3506837652146244,4.479616780486183,3.4057791789369563,4.107722554678216,4.9272238333942715
2,37,1.4299241458236693,4.862896908935145,2.6878705348722316,4.854472578677323,2.314145251504768,4.457805288860188,0.119524971094504,2.523863507796352,3.9755862412891103
2,79,2.0680257887294404,4.222807516014927,2.559613473827575,4.492711968844903,2.125393389780122,2.9198577304191136,2.699327245169529,4.920497289066893,1.8913943146387195
2,163,0.4609153624309975,3.9129787155128026,4.28012895406358,2.0935704684018597,0.7982322936396419,1.0770520502291958,1.2100283028870717,4.610500986956193,3.8758975481863507
3,43,0.2072652089079402,3.713839227345268,1.9837303930033396,1.9955575002852295,2.3818798977763596,3.6361693025018935,4.155964044241642,1.756650412963932,2.7796738144001636
3,122,3.4683121256619724,4.421347113916761,2.2858199497822005,2.8065724538122296,0.12379944952908617,1.307670907076151,4.773760329508816,2.646924054637157,4.16049999062373
